id,question_text,company,date,interview_id,company_norm,question_text_norm,cluster_id
q1,"2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах",- Знакомство С Менеджерами,2024-10-17,interview_-_Знакомство_С_Менеджерами_000,Знакомство С Менеджерами,"2 этап - знакомство с менеджерами: рассказ о корпоративной культуре, технике, пересмотре зарплаты, соцпакете и дополнительных бонусах",1
q1,Кратко про опыт,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Кратко про опыт,2
q2,Что такое батчинг в реакт,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Что такое батчинг в реакт,3
q3,Разница интерфейсов и типов,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Разница интерфейсов и типов,4
q4,Что такое ref и зачем нужен,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Что такое ref и зачем нужен,5
q5,Что такое cleanup функция в useEffect,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Что такое cleanup функция в useEffect,6
q6,Разница между any / never / unknown,- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,Разница между any / never / unknown,7
q1,"Реализовать метод groupBy, который группирует элементы массива объектов по заданному ключу и возвращает объект с массивами сгруппированных элементов",- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,"Реализовать метод groupBy, который группирует элементы массива объектов по заданному ключу и возвращает объект с массивами сгруппированных элементов",8
q2,"Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу",- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,"Реализовать функцию compose, которая принимает несколько функций и возвращает новую функцию, последовательно применяющую переданные функции к аргументу",9
q3,"Реализовать кастомный React-хук useDebounce, который принимает значение и возвращает его с задержкой обновления в 500 мс, очищая таймаут при изменении значения",- Интеграционные Решения,2025-04-29,interview_-_Интеграционные_Решения_000,Интеграционные Решения,"Реализовать кастомный React-хук useDebounce, который принимает значение и возвращает его с задержкой обновления в 500 мс, очищая таймаут при изменении значения",10
q1,Что такое замыкания,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Что такое замыкания,11
q2,event-loop,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,event-loop,12
q3,"Объясните принципы чистого кода: SOLID, KISS, DRY, YAGNI",- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,"Объясните принципы чистого кода: SOLID, KISS, DRY, YAGNI",13
q4,Что такое React,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Что такое React,14
q5,Что такое виртуальный дом в React,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Что такое виртуальный дом в React,15
q6,С какими хуками React вы работали и для чего они используются,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,С какими хуками React вы работали и для чего они используются,16
q7,Обсуждение сложности алгоритмов и понятия Big O,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Обсуждение сложности алгоритмов и понятия Big O,17
q8,"Найдите медиану двух отсортированных массивов без использования сортировки, используя их упорядоченность для оптимального прохода",- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,"Найдите медиану двух отсортированных массивов без использования сортировки, используя их упорядоченность для оптимального прохода",18
q9,Опишите порядок выполнения операций в вашем решении задачи с медианой,- Ту Софт,2024-09-26,interview_-_Ту_Софт_000,Ту Софт,Опишите порядок выполнения операций в вашем решении задачи с медианой,19
q1,Нужно найти медиану двух отсортированных массивов за O(n),- Ту Софт,2024-09-22,interview_-_Ту_Софт_001,Ту Софт,Нужно найти медиану двух отсортированных массивов за O(n),20
q1,"Объясните, почему блок try...catch не ловит ошибки из промисов и как работает обработка ошибок в цепочке промисов",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Объясните, почему блок try...catch не ловит ошибки из промисов и как работает обработка ошибок в цепочке промисов",21
q2,"Проанализируйте вывод консольных логов в следующем коде: setTimeout(()=> console.log('setTimeout'), 0); console.log('scriptstart'); Promise.resolve().then(()=> { console.log(1); throw new Error('err'); console.log(100); }).then(()=> console.log(2)).then(()=> console.log(3))",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Проанализируйте вывод консольных логов в следующем коде: setTimeout(()=> console.log('setTimeout'), 0); console.log('scriptstart'); Promise.resolve().then(()=> { console.log(1); throw new Error('err'); console.log(100); }).then(()=> console.log(2)).then(()=> console.log(3))",22
q3,"Как можно отрефакторить задачу с консольными логами, вынеся таблицу и логику запроса",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Как можно отрефакторить задачу с консольными логами, вынеся таблицу и логику запроса",23
q4,"Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Зачем нужен React, объясните преимущества декларативности, виртуального DOM и процесса reconciliation",24
q5,Почему нельзя просто изменить текст в элементе через DOM API в React,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Почему нельзя просто изменить текст в элементе через DOM API в React,25
q6,Объясните разницу между умным и глупым компонентом в React,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Объясните разницу между умным и глупым компонентом в React,26
q7,Перечислите и опишите методы жизненного цикла в React и работу хука useEffect,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Перечислите и опишите методы жизненного цикла в React и работу хука useEffect,27
q8,"Что такое замыкание, приведите пример замыкания на основе использования setState внутри useEffect",06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,"Что такое замыкание, приведите пример замыкания на основе использования setState внутри useEffect",28
q9,Объясните назначение свойства key в React,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Объясните назначение свойства key в React,29
q10,Какие правила хуков в React существуют и почему их нужно соблюдать,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Какие правила хуков в React существуют и почему их нужно соблюдать,30
q11,Что такое JSX и можно ли использовать React без него,06 Иц-Айтеко,2025-06-05,interview_06_Иц-Айтеко_000,06 Иц-Айтеко,Что такое JSX и можно ли использовать React без него,31
q1,Что такое event-loop,07 Точка Маркетплейсы,2024-07-26,interview_07_Точка_Маркетплейсы_000,07 Точка Маркетплейсы,Что такое event-loop,32
q1,Как задача прилетала в бэклог флоу,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Как задача прилетала в бэклог флоу,33
q2,this,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,this,34
q3,call/bind/apply,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,call/bind/apply,35
q4,Замыкание,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Замыкание,36
q5,EventLoop,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,EventLoop,37
q6,Что относится к микротаскам,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Что относится к микротаскам,38
q7,async/await,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,async/await,39
q8,DOM,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,DOM,40
q9,Почему не можем использовать HTML вместо DOM (JavaScript работает только через DOM),10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Почему не можем использовать HTML вместо DOM (JavaScript работает только через DOM),41
q10,Всплытие и погружение событий подробно,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Всплытие и погружение событий подробно,42
q11,stopPropagation и preventDefault,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,stopPropagation и preventDefault,43
q12,"Назовите 3 React-хука, с которыми чаще всего работали",10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,"Назовите 3 React-хука, с которыми чаще всего работали",44
q13,useRef,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,useRef,45
q14,useEffect: как может себя вести при отсутствии зависимостей или при их удалении,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,useEffect: как может себя вести при отсутствии зависимостей или при их удалении,46
q15,HOC (Higher Order Component),10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,HOC (Higher Order Component),47
q16,useMemo vs useCallback,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,useMemo vs useCallback,48
q17,Redux,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Redux,49
q18,Middleware в Redux,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Middleware в Redux,50
q19,HOC (Higher Order Function),10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,HOC (Higher Order Function),51
q20,HTTP vs HTTPS,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,HTTP vs HTTPS,52
q21,Открытый и закрытый ключ,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Открытый и закрытый ключ,53
q22,Как настроить кэширование в браузере,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,Как настроить кэширование в браузере,54
q23,sessionStorage vs localStorage,10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,sessionStorage vs localStorage,55
q24,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения",10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,"Написать функцию для проверки, является ли строка палиндромом, и предложить способы оптимизации решения",56
q25,"Написать функцию для проверки правильности совпадения скобок в строке (например, '((()))') и предложить способы оптимизации решения",10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,"Написать функцию для проверки правильности совпадения скобок в строке (например, '((()))') и предложить способы оптимизации решения",57
q26,"Привести строку с дробью к формату без скобок, например преобразовать '(9999/9999)'",10 Бсс,2024-10-18,interview_10_Бсс_000,10 Бсс,"Привести строку с дробью к формату без скобок, например преобразовать '(9999/9999)'",58
q1,class vs id,65Apps,2025-01-17,interview_65Apps_000,65Apps,class vs id,59
q2,модули в JS,65Apps,2025-01-17,interview_65Apps_000,65Apps,модули в JS,60
q3,Какие бывают бандлеры,65Apps,2025-01-17,interview_65Apps_000,65Apps,Какие бывают бандлеры,61
q4,Как оптимизировать бандл,65Apps,2025-01-17,interview_65Apps_000,65Apps,Как оптимизировать бандл,62
q5,ООП,65Apps,2025-01-17,interview_65Apps_000,65Apps,ООП,63
q6,Solid,65Apps,2025-01-17,interview_65Apps_000,65Apps,Solid,64
q7,JWT,65Apps,2025-01-17,interview_65Apps_000,65Apps,JWT,65
q8,Что хранится на бэке для авторизации,65Apps,2025-01-17,interview_65Apps_000,65Apps,Что хранится на бэке для авторизации,66
q9,"Реализуйте функцию flat, которая принимает массив с вложенными массивами и возвращает плоский массив с элементами всех уровней вложенности",65Apps,2025-01-17,interview_65Apps_000,65Apps,"Реализуйте функцию flat, которая принимает массив с вложенными массивами и возвращает плоский массив с элементами всех уровней вложенности",67
q1,Об опыте,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Об опыте,68
q2,Virtual dom,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Virtual dom,69
q3,Проп key,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Проп key,70
q4,Мемоизация в react,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Мемоизация в react,71
q5,Event loop,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Event loop,72
q6,"Что такое fsd, как внедряли его на проект",Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,"Что такое fsd, как внедряли его на проект",73
q7,Виды рендеринга,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Виды рендеринга,74
q8,Минусы / плюсы TS,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Минусы / плюсы TS,75
q9,Generics,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Generics,76
q10,"Utility types, кастомные утилиты",Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,"Utility types, кастомные утилиты",77
q11,Как работает браузер,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,Как работает браузер,78
q12,http/https,Action Tech,2025-04-16,interview_Action_Tech_000,Action Tech,http/https,79
q1,Кратко про опыт работы,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Кратко про опыт работы,2
q2,Axios или Fetch? Что сейчас лучше использовать?,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Axios или Fetch? Что сейчас лучше использовать?,80
q3,Объясните разницу между any и unknown в TypeScript,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Объясните разницу между any и unknown в TypeScript,81
q4,Что такое as const в TypeScript?,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Что такое as const в TypeScript?,82
q5,Что такое infer в TypeScript?,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Что такое infer в TypeScript?,83
q6,Что такое замыкание?,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Что такое замыкание?,11
q7,Что такое reconciliation в React?,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Что такое reconciliation в React?,84
q8,Что такое EventLoop?,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Что такое EventLoop?,32
q9,Объясните принцип работы React.memo,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Объясните принцип работы React.memo,85
q1,"Реализовать функцию groupAnagrams, которая группирует слова из массива по анаграммам",AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,"Реализовать функцию groupAnagrams, которая группирует слова из массива по анаграммам",86
q2,"Написать функцию для поиска числа, которое встречается ровно 2 раза в массиве",AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,"Написать функцию для поиска числа, которое встречается ровно 2 раза в массиве",87
q3,"Реализовать функцию isUnique, которая проверяет, что все строки в массиве уникальны",AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,"Реализовать функцию isUnique, которая проверяет, что все строки в массиве уникальны",88
q4,Сделать React-компонент с 30 инпутами и вынести инпут в отдельный компонент InputField с управляемым состоянием,AEX Soft,2025-04-30,interview_AEX_Soft_000,AEX Soft,Сделать React-компонент с 30 инпутами и вынести инпут в отдельный компонент InputField с управляемым состоянием,89
q1,Что такое чистая функция,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Что такое чистая функция,90
q2,Что такое замыкание (привести кейс замыкания),Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Что такое замыкание (привести кейс замыкания),91
q3,Как выполняется отрисовка в браузере,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Как выполняется отрисовка в браузере,92
q4,Когда подключится js,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Когда подключится js,93
q5,Event Loop,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Event Loop,72
q6,Что такое VDOM,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Что такое VDOM,94
q7,"useState, колбек функция стейта",Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,"useState, колбек функция стейта",95
q8,Отличия useEffect от useLayoutEffect,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Отличия useEffect от useLayoutEffect,96
q9,"Что такое key, зачем нужен",Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,"Что такое key, зачем нужен",97
q10,Что нового в React 18,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Что нового в React 18,98
q11,"React.memo, что такое, как юзать, как аргументы",Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,"React.memo, что такое, как юзать, как аргументы",99
q12,FLUX - что такое,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,FLUX - что такое,100
q13,"Что не нравится в эффекторе, какие минусы видишь",Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,"Что не нравится в эффекторе, какие минусы видишь",101
q14,Отличия типа от интерфейса в TypeScript,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Отличия типа от интерфейса в TypeScript,102
q15,Есть ли перегрузка в TypeScript?,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Есть ли перегрузка в TypeScript?,103
q16,"Что такое satisfies в TypeScript, отличия от as",Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,"Что такое satisfies в TypeScript, отличия от as",104
q17,Декораторы в TypeScript,Aggregate Digital,2024-11-07,interview_Aggregate_Digital_000,Aggregate Digital,Декораторы в TypeScript,105
q1,"Задача: отрисовать шахматную доску и реализовать управление королем, который может ходить только на соседние 8 клеток, при этом закрашивать возможные ходы",Agima,2025-03-17,interview_Agima_000,Agima,"Задача: отрисовать шахматную доску и реализовать управление королем, который может ходить только на соседние 8 клеток, при этом закрашивать возможные ходы",106
q2,Объясните принцип работы React.memo и useCallback,Agima,2025-03-17,interview_Agima_000,Agima,Объясните принцип работы React.memo и useCallback,85
q3,Работали ли вы с Next.js?,Agima,2025-03-17,interview_Agima_000,Agima,Работали ли вы с Next.js?,107
q4,Работали ли вы с 3D графикой в JavaScript (Three.js)?,Agima,2025-03-17,interview_Agima_000,Agima,Работали ли вы с 3D графикой в JavaScript (Three.js)?,108
q5,"Расскажите, как вы попали в IT и фронтенд",Agima,2025-03-17,interview_Agima_000,Agima,"Расскажите, как вы попали в IT и фронтенд",109
q6,Расскажите про задачи на текущей работе и продукт,Agima,2025-03-17,interview_Agima_000,Agima,Расскажите про задачи на текущей работе и продукт,110
q1,"Про опыт, спрашивал по конкретной реализации фич на прошлых проектах",Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,"Про опыт, спрашивал по конкретной реализации фич на прошлых проектах",111
q2,Про виртуализацию списков,Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,Про виртуализацию списков,112
q3,Как можно вызвать ререндер child из parent не прокидывая пропсы в child,Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,Как можно вызвать ререндер child из parent не прокидывая пропсы в child,113
q4,"Спрашивал о работе веб-сервера Nginx, что это и зачем вообще надо",Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,"Спрашивал о работе веб-сервера Nginx, что это и зачем вообще надо",114
q5,TS: отличия типов от интерфейса,Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,TS: отличия типов от интерфейса,115
q6,Utility types в TypeScript,Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,Utility types в TypeScript,116
q7,Методы массивов,Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,Методы массивов,117
q8,useEffect и useLayoutEffect,Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,useEffect и useLayoutEffect,118
q9,Дженерики в TypeScript и можно ли указать дженерик в JSX при рендере компонента,Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,Дженерики в TypeScript и можно ли указать дженерик в JSX при рендере компонента,119
q10,"useRef и forwardRef, можно ли реф прокинуть в дочерний компонент просто как пропс",Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,"useRef и forwardRef, можно ли реф прокинуть в дочерний компонент просто как пропс",120
q1,"Написать каррированную функцию, которая принимает числа аргументами, после всех вызовов идет пустой вызов без аргументов, который свидетельствует об окончании работы функции, если функция сразу вызвана без аргументов — вернуть 0",Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,"Написать каррированную функцию, которая принимает числа аргументами, после всех вызовов идет пустой вызов без аргументов, который свидетельствует об окончании работы функции, если функция сразу вызвана без аргументов — вернуть 0",121
q11,Задача на EventLoop,Aladdin,2024-11-27,interview_Aladdin_000,Aladdin,Задача на EventLoop,122
q1,По пункту в резюме: как реализовано скачивание файлов в pdf,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,По пункту в резюме: как реализовано скачивание файлов в pdf,123
q2,В чем разница между null и undefined,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,В чем разница между null и undefined,124
q3,Что такое Symbol и зачем он нужен,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Что такое Symbol и зачем он нужен,125
q4,Пользовался ли var и почему не рекомендуется использовать эту переменную,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Пользовался ли var и почему не рекомендуется использовать эту переменную,126
q5,Можно ли через const изменить свойства объекта,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Можно ли через const изменить свойства объекта,127
q6,"Можно ли сделать так, чтобы нельзя было менять свойства объекта (заморозить объект)",Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,"Можно ли сделать так, чтобы нельзя было менять свойства объекта (заморозить объект)",128
q7,Что такое замыкание,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Что такое замыкание,11
q9,"Какие бывают виды функций, как работает контекст и какие есть методы сохранения контекста",Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,"Какие бывают виды функций, как работает контекст и какие есть методы сохранения контекста",129
q10,Можно ли применять bind/call/apply к стрелочным функциям и почему,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Можно ли применять bind/call/apply к стрелочным функциям и почему,130
q11,"Расскажите все про промисы, включая статичные методы промиса, async/await и способы избегания callback hell",Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,"Расскажите все про промисы, включая статичные методы промиса, async/await и способы избегания callback hell",131
q12,Какие основные методы массива вы знаете,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Какие основные методы массива вы знаете,132
q13,Что такое AbortController и как отменять запросы с помощью axios,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Что такое AbortController и как отменять запросы с помощью axios,133
q14,"Делали ли вы дженерики и в каких случаях, например в кастомных утилитах",Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,"Делали ли вы дженерики и в каких случаях, например в кастомных утилитах",134
q15,"В чем разница между interface и type, что такое infer, и разница между any, unknown и never",Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,"В чем разница между interface и type, что такое infer, и разница между any, unknown и never",135
q16,Расскажите кратко про React,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Расскажите кратко про React,136
q17,Какие способы оптимизации React-приложений вы знаете,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Какие способы оптимизации React-приложений вы знаете,137
q18,"Сравните React, Vue и Angular",Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,"Сравните React, Vue и Angular",138
q19,Что такое хуки в React,Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,Что такое хуки в React,139
q20,"Что такое контекст в React, зачем он нужен и как работает",Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,"Что такое контекст в React, зачем он нужен и как работает",140
q21,"Написать тип для функции multiplyBy2, которая является свойством функции sum: sum принимает два числа и возвращает число, sum.multiplyBy2 принимает два числа и возвращает число, равное sum(a,b) * 2",Alderasoft,2025-02-07,interview_Alderasoft_000,Alderasoft,"Написать тип для функции multiplyBy2, которая является свойством функции sum: sum принимает два числа и возвращает число, sum.multiplyBy2 принимает два числа и возвращает число, равное sum(a,b) * 2",141
q1,Какие способы оптимизации ты использовал в своём приложении.,Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,Какие способы оптимизации ты использовал в своём приложении.,142
q2,"Тебе нужно выполнить объёмную операцию, которая займёт продолжительное время, что нужно сделать, чтобы браузер не тормозил, не завис.",Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,"Тебе нужно выполнить объёмную операцию, которая займёт продолжительное время, что нужно сделать, чтобы браузер не тормозил, не завис.",143
q3,Утечка памяти. Как ты с ней борешься и какие инструменты используешь.,Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,Утечка памяти. Как ты с ней борешься и какие инструменты используешь.,144
q4,"Бывает, что страница прыгает при отрисовке, как этого избежать.",Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,"Бывает, что страница прыгает при отрисовке, как этого избежать.",145
q5,Какие методы защиты ты используешь для своего приложения.,Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,Какие методы защиты ты используешь для своего приложения.,146
q6,Синхронные и асинхронные функции.,Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,Синхронные и асинхронные функции.,147
q7,"Есть сайт, где продают кроссовки. Что будет происходить при его запросе, если использовать SSR и SPA.",Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,"Есть сайт, где продают кроссовки. Что будет происходить при его запросе, если использовать SSR и SPA.",148
q8,Способы оптимизации vue приложений.,Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,Способы оптимизации vue приложений.,149
q9,"Зачем использовать Pinia, если можно обойтись ref.",Alfabit,2024-02-21,interview_Alfabit_000,Alfabit,"Зачем использовать Pinia, если можно обойтись ref.",150
q1,Расскажи про опыт,Algorithmic Brains,2024-07-12,interview_Algorithmic_Brains_000,Algorithmic Brains,Расскажи про опыт,151
q2,"Объясните разницу между var, let и const",Algorithmic Brains,2024-07-12,interview_Algorithmic_Brains_000,Algorithmic Brains,"Объясните разницу между var, let и const",152
q3,"Объясните разницу между Cookie, LocalStorage и SessionStorage",Algorithmic Brains,2024-07-12,interview_Algorithmic_Brains_000,Algorithmic Brains,"Объясните разницу между Cookie, LocalStorage и SessionStorage",153
q4,"Что такое callback hell, promise и async/await",Algorithmic Brains,2024-07-12,interview_Algorithmic_Brains_000,Algorithmic Brains,"Что такое callback hell, promise и async/await",154
q5,Какие существуют статические методы у Promise,Algorithmic Brains,2024-07-12,interview_Algorithmic_Brains_000,Algorithmic Brains,Какие существуют статические методы у Promise,155
